template,total_entries,translated,fuzzy,missing,percent_translated
members/forms.py,20,19,0,1,95.0
members/forms.py ./members/forms.py,3,3,0,0,100.0
members/forms.py ./members/forms.py ./members/forms.py,3,3,0,0,100.0
templates/base.html,3,2,1,1,66.7
templates/base.html ./templates/base.html,4,4,0,0,100.0
templates/base.html ./templates/fellowships/detail.html,1,1,0,0,100.0
templates/base.html ./templates/fellowships/list.html,1,1,0,0,100.0
templates/base.html ./templates/home.html,2,2,0,0,100.0
templates/base.html ./templates/home.html ./templates/home.html,1,1,0,0,100.0
templates/base.html ./templates/landing.html,2,2,0,0,100.0
templates/base.html ./templates/members/detail.html,1,1,0,0,100.0
templates/church_demo.html,0,0,0,0,0.0
templates/content_app/announcement_form.html,4,4,0,0,100.0
templates/content_app/announcements.html,10,10,0,0,100.0
templates/content_app/confirm_delete.html,7,7,0,0,100.0
templates/content_app/liturgy_form.html,4,4,0,0,100.0
templates/content_app/liturgy_list.html,8,8,0,0,100.0
templates/content_app/upcoming_event_confirm_delete.html,7,7,0,0,100.0
templates/content_app/upcoming_event_form.html,4,4,0,0,100.0
templates/content_app/upcoming_events.html,10,10,0,0,100.0
templates/fellowships/confirm_delete.html,6,6,0,0,100.0
templates/fellowships/detail.html,5,5,0,0,100.0
templates/fellowships/detail.html ./templates/fellowships/list.html,1,1,0,0,100.0
templates/fellowships/detail.html ./templates/members/detail.html,1,1,0,0,100.0
templates/fellowships/detail.html ./templates/pledges/list.html,1,1,0,0,100.0
templates/fellowships/form.html,2,2,1,0,100.0
templates/fellowships/form.html ./templates/fellowships/form.html,1,1,1,0,100.0
templates/fellowships/list.html,4,4,0,0,100.0
templates/fellowships/list.html ./templates/fellowships/list.html,1,1,0,0,100.0
templates/fellowships/list.html ./templates/members/list.html,1,1,0,0,100.0
templates/fellowships/participation_form.html,4,4,0,0,100.0
templates/home.html,12,12,2,0,100.0
templates/home.html ./templates/home.html,2,2,0,0,100.0
templates/home.html ./templates/members/detail.html,1,1,0,0,100.0
templates/home.html ./templates/members/list.html,1,1,0,0,100.0
templates/includes/flash.html,0,0,0,0,0.0
templates/landing.html,36,36,0,0,100.0
templates/landing.html ./templates/landing.html,6,6,1,0,100.0
templates/landing.html ./templates/login.html,1,1,0,0,100.0
templates/landing.html ./templates/members/application_approve.html,2,2,0,0,100.0
templates/landing.html ./templates/public/about.html,3,2,0,1,66.7
templates/landing.html ./templates/public/contact.html,1,1,0,0,100.0
templates/landing.html ./templates/public/events.html,3,3,0,0,100.0
templates/login.html,3,2,0,1,66.7
templates/login.html ./templates/public/about.html,1,1,0,0,100.0
templates/login.html ./tenants/forms.py,1,0,0,1,0.0
templates/members/application_approve.html,59,59,0,0,100.0
templates/members/application_submitted.html,5,5,0,0,100.0
templates/members/applications_list.html,14,14,0,0,100.0
templates/members/confirm_delete.html,6,6,0,0,100.0
templates/members/confirm_delete.html ./templates/members/form.html,1,1,0,0,100.0
templates/members/detail.html,35,35,0,0,100.0
templates/members/detail.html ./templates/members/detail.html,18,18,0,0,100.0
templates/members/detail.html ./templates/members/form.html,6,6,0,0,100.0
templates/members/detail.html ./templates/members/me.html,11,11,0,0,100.0
templates/members/form.html,3,1,0,2,33.3
templates/members/form.html ./templates/members/form.html,5,5,0,0,100.0
templates/members/form.html ./templates/members/list.html,2,2,0,0,100.0
templates/members/form.html ./templates/members/wizard_step.html,4,4,0,0,100.0
templates/members/list.html,7,7,0,0,100.0
templates/members/list.html ./templates/members/list.html,1,1,0,0,100.0
templates/members/list.html ./templates/pledges/list.html,1,1,0,0,100.0
templates/members/me.html,15,9,5,6,60.0
templates/members/me.html ./templates/members/me.html,2,2,0,0,100.0
templates/members/me.html ./templates/public/contact.html,2,2,0,0,100.0
templates/members/spiritual_progress_form.html,4,4,0,0,100.0
templates/members/wizard_step.html,11,11,0,0,100.0
templates/members/wizard_step.html ./templates/pledges/list.html,2,2,0,0,100.0
templates/password_reset_request.html,2,0,0,2,0.0
templates/password_reset_set.html,3,1,1,2,33.3
templates/password_reset_verify.html,2,0,0,2,0.0
templates/pledges/confirm_delete.html,7,7,0,0,100.0
templates/pledges/form.html,2,2,0,0,100.0
templates/pledges/form.html ./templates/pledges/form.html,1,1,0,0,100.0
templates/pledges/list.html,17,11,2,6,64.7
templates/pledges/list.html ./templates/pledges/list.html,3,2,0,1,66.7
templates/public/about.html,24,24,0,0,100.0
templates/public/about.html ./templates/public/contact.html,3,3,0,0,100.0
templates/public/about.html ./templates/public/events.html,2,2,0,0,100.0
templates/public/contact.html,16,16,0,0,100.0
templates/public/contact.html ./templates/public/events.html,5,4,0,1,80.0
templates/public/events.html,26,26,0,0,100.0
templates/public/events.html ./templates/public/ministries.html,3,3,0,0,100.0
templates/public/ministries.html,30,29,0,1,96.7
templates/public/ministries.html ./templates/public/partials_nav.html,1,1,0,0,100.0
templates/public/partials_nav.html,4,4,0,0,100.0
templates/public/partials_nav.html ./templates/signup.html,1,1,0,0,100.0
templates/signup.html,5,5,1,0,100.0
templates/signup_verify.html,3,1,1,2,33.3
templates/signup_verify.html ./templates/signup_verify.html,1,0,0,1,0.0
templates/signup_verify.html ./tenants/forms.py,1,1,1,0,100.0
templates/tenants/create.html,1,1,0,0,100.0
templates/tenants/create.html ./templates/tenants/create.html,1,1,0,0,100.0
tenants/forms.py,17,1,1,16,5.9
tenants/forms.py ./tenants/forms.py,2,2,2,0,100.0
tenants/views.py,4,0,0,4,0.0
tenants/views.py ./tenants/views.py,7,0,0,7,0.0
